EventClassIDs,EventClassNames
cc4d21cf-465c-480e-a9a5-446c64e2050c,Audit Logon Events policy changed
5dae42b6-3462-49ec-8d92-06e61ff4d370,Audit Object Access policy changed
cb6d414b-28a6-44f2-9544-deb5f04c62ed,Audit Audit Policy Change modified
9f8cc4b3-57f3-4e8e-be06-e24cbb6da8af,Audit Privilege Use policy changed
e712f420-cc58-4e42-a81c-ad31020da8f1,Audit Process Tracking policy changed
d577335e-68bf-46a0-9c72-ea22a634b0ad,Audit System Events policy changed
d17c4e63-2fe7-4a2a-8fd4-2aecd99f87e9,User Do Not Require Kerberos Preauthentication option changed
49dc3d06-1702-4383-8b92-f225e4a773ea,User Account type changed
e540b313-cfd3-4d5d-b3de-6b52915a4336,User Account Is Sensitive And Cannot be Delegated option changed
62cea96f-ec4a-4291-9055-adbffc560e4f,Enable Remote Control changed for user object
046bb41b-2abd-4234-9622-e1b25ba919c2,Store Passwords Using Reversible Encryption policy changed
0adb180c-02ea-4882-bd3f-6b4a2cde3044,SYSVOL location changed
1d5c9949-3368-4fc2-8106-7570c2d15c1b,DHCP disabled
2a2b940a-28db-4449-a250-8539d1d29b53,Static IP address changed
38f36286-fc63-4761-8f3a-c21a869c5776,Password Must Meet Complexity Requirements policy changed
43c2671a-229f-437a-bae6-bec85589efc3,Default gateway changed
80bd6fa7-8d1c-4966-8101-1ff73a5f4aef,DHCP enabled
8146f1bf-9d61-4d06-98cc-675dc69dfb5e,Group policy block inheritance setting changed on OU
893fd87a-325a-474c-80a8-71824cd3e856,Enforce Password History policy changed
8b608317-ddaf-480e-9b56-6226c7316c7a,Linked Group Policy on domain changed
8d6cae0c-5b85-4b16-a97d-db4749ea1ebe,Trust removed
9e1616ad-8d65-4d0b-8c54-1796391f00ce,Group renamed
b871574b-1582-4346-819a-9eeb500b9867,DACL changed on group object
bb1a474c-2468-4df0-ae35-56f02455dfed,DACL changed on domain object
c14e7b5b-30ed-46cf-b454-e22ca561d651,Computer moved
d0325365-3af4-4dcb-a9ee-56b439b1bfd7,Trust added
ebb04e6d-c800-42c7-9a91-c60bdb8a8b20,Maximum Password Age policy changed
5fdf8b12-8578-4561-b843-ae1174bde2c8,Subnet mask changed
15f141a9-fc90-40be-b60d-454094ab5929,Schema modifications allowed flag changed
e5e494b4-7c42-46c5-9b59-e8e718bb6512,IP deny list entry added
9adc9c79-2bbe-43d0-8a47-5ad00c7cf997,IP deny list entry removed
7314598a-4cbb-4024-ae06-6a59d8390a92,Group policy Disabled setting on OU changed
0369913d-2a70-4deb-83c0-6143da432c7a,Group policy block inheritance setting changed on domain
7ad6d641-65b0-431e-877e-3ec3e64aae26,User performed a successful network logon from a remote computer
daf0c9ac-8ba9-41c7-a3f1-71e3263ea6c9,User StrongAuthenticationPhoneApp detail property changed
1d4566ec-7c8b-4e01-937c-bb9895a89dd0,User StrongAuthenticationRequirement property changed
c01ee31b-21a2-4d82-9e61-87ec441564f4,User StrongAuthenticationUserDetails property changed
5b3b537f-74ef-44ad-a6d9-07713a666203,Enforce User Logon Restrictions policy changed
d602c2f1-7a91-4ae7-9d65-0c5cead8051a,Group policy link added to OU
05111390-6ebf-42d4-90b3-97f20ec91715,Group policy link settings modified
b05f1dba-4d2d-4f21-8417-436ce4eec6a3,User failed to authenticate through NTLM
d8604ee1-eea0-4c91-99ab-0beffdf9a7d5,DACL changed on group policy object
ea68aec3-f723-4e8a-bbae-7a93833f1b77,Local user logged on
6a1a5b69-7cdd-432e-a41b-6fa01ac7f072,Site removed
0326a313-8231-4bb2-b398-f4c8415234d2,Site link removed
0cc2c2a9-885a-4164-b627-624c974995d8,Site link bridge added
eada12d0-a406-45b5-b684-aeca56874d6d,Site link bridge removed
b4441fc3-8d47-4818-93d2-800d5f083a0c,Site renamed
03e98232-7b14-443a-9f6a-029e472226ec,User password changed by non-owner
da9deef1-fe3c-4054-955b-de7f153545d0,User StsRefreshTokensValidFrom property changed
11a83302-2ec0-4e26-b5ba-6e98ad0fae7e,Allowed DNS suffix list changed for domain
d61c344b-6b76-4ae4-a2c1-e41fc8201afb,Update DNS on all adapters setting changed
b2ed645d-1a4d-4e9e-bd1e-d39c7733fbfb,Active Session Limit changed for user object
fa8b4b08-a752-46d0-bfdb-11783336d7bb,Allow Reconnection changed for user object
1ce38795-c142-4622-83ee-bf5ffba58d2c,City changed on user object
82a99c04-ec85-4808-9164-ad1aa53b3dd4,Company changed for user object
9b62ad8c-861d-4e25-b608-459b99f3b7eb,Country/Region changed on user object
65e4a2ee-75d2-420c-9fd7-7bef68b5d5cc,Default to main client printer changed for user object
b723be88-b0d1-4d3a-b467-fefb04939850,Department changed for user object
9254a73a-8899-45b2-9c9c-da4733d62d0f,Description changed on user object
624ed373-2f78-4116-80e0-d3ca07785c2d,Direct Report Added to user object
38667a80-976c-44fe-8df0-f8868f6a186d,Direct Report Removed from user object
01d11a6f-e4a5-45be-8424-fc643c5a0555,Display name changed on user object
3efc4982-32e4-4b59-b907-40b638ca07e0,Dynamic user object added
15149dbc-fd00-47ca-9096-163dfb8ea640,Dynamic user object changed
205a513f-ef5f-4ffd-84e3-51af3f3137f5,Dynamic user object removed
02821032-65cb-4cc7-a914-cb842a1586b5,End a Disconnected Session changed for user object
dd898d69-18a9-49b1-9562-5db9808f4750,Fax Number changed on user object
65dedb60-b651-43f5-8aee-bd6625b5f5ac,First name changed on user object
ab4a60a5-3117-4447-937a-250a7a054916,Home Telephone Number changed on user object
516fbb65-74f8-45df-95d6-0c7d92b79b4b,Idle Session Limit changed for user object
24f3c951-8e7f-47dd-bc38-9be83a202276,Initials changed on user object
8d94a1e6-d8c3-4e14-b8b1-c678e18db4fb,IP Phone Number changed on user object
2b224b2e-bcd8-4ea9-8ebe-2cfc52c5c07f,Last name changed on user object
b5a42b18-5536-4512-820c-3194f166df10,Manager changed for user object
a20e7320-10f4-4825-b281-196ff187e853,Mobile Number changed on user object
70a3c1c5-1341-4387-9785-8692e576dae6,Office changed on user object
79566bdc-f01b-44da-9526-261c477dc012,Other Fax Number added to user object
caaa6642-4a3f-4229-9bd7-eea0828a3a52,Other Fax Number removed from user object
8fc992b0-efcf-4524-9938-54f1e6c9afcd,Other Home Telephone Number added to user object
2e6c9e40-0263-4bc1-9efb-88aafef2f147,Other Home Telephone Number removed from user object
1f292d21-8025-48a4-b799-5f912a4e5928,Other IP Phone Number added to user object
4c781a90-6b7c-4ccf-8ba9-d59a4d40cd88,Other IP Phone Number removed from user object
5ce0a9a4-9f5a-45a5-a5e6-cd82bbd60fd0,Other Mobile Number added to user object
25668856-294b-46af-aabf-c2be44a1e545,Other Mobile Number removed from user object
a8aa8b77-c9da-4d24-9a58-c4ff8dd58e29,Other Pager Number added to user object
8febc0db-5ff8-4cee-84cf-3deaf23c7f6b,Other Pager Number removed from user object
d13293e7-e12b-4c2b-86ae-1580f86896f0,Other Telephone Number added to user object
31e0cf3b-0014-4565-a7fa-c126c9d800d9,Other Telephone Number removed from user object
f152b375-b8dc-4e82-86ae-39394ab24feb,Other Web Page added to user object
d17bab2e-85df-4fe7-a1b6-55250c94aa43,Other Web Page removed from user object
a119ea9e-7956-4303-b95e-bc1d29ec0097,Owner changed on user object
69307aa1-f6e6-4dd2-a465-3f14aa424a7b,P.O. Box changed on user object
8d43ce1e-1942-4b7e-a062-d1b274c27760,Pager Number changed on user object
c85371fe-d58c-42b3-8bcf-2f04e9e58937,Partition Set changed for user object
e551e1bd-b1df-4985-b0e9-9b1ac61e31cb,Profile Path changed on user object
e4650cc2-0485-436e-bde0-113d32eeb244,Published Certificate Added to user object
b7a4a154-410d-473c-9d43-e9b5a489891d,Published Certificate Removed from user object
19343787-2695-4c37-9635-89a46faf15c2,Require User's Permission changed for user object
de1ae6e8-1db4-4d94-a241-ff6ca052371c,Starting Directory changed for user object
5e00699f-b85f-495d-a660-5d050f9c2a06,Starting Program changed for user object
2a198148-10b5-4e3c-8511-4141adf738f0,State/Province changed on user object
aac7710b-43eb-4882-9031-af18785114d6,Street Address changed on user object
5978e1b1-c6a9-49a8-9312-62ce9766e216,Telephone notes changed on user object
c1846f01-ca4e-48d5-b809-6eff8845de17,Telephone Number changed on user object
3b782c15-e02a-4129-b230-3943505d9d05,Terminal Services home folder drive changed
a1ad89c2-5689-4238-a49e-584e40df9aa1,Terminal Services home folder path changed
f32da91a-0af7-42bd-87c0-96e10d027bb1,Terminal Services home folder type changed
e646027c-03eb-4e93-aa03-e8b7123c94e4,Terminal Services user profile path changed
c26085b1-09da-4ae5-87b7-188e7eedf5b2,Title changed for user object
f9ef0f85-21ab-42f0-8a17-afc726b1e5a6,User Dial-in Callback Options changed
d4dbe574-0dfd-4860-92dc-179ed70b7149,User Dial-in Remote Access Permission changed
f70cb8dd-11e7-4274-aa0b-17003a6f9712,User Dial-in Static IP Address changed
d212c50d-6ada-466b-b228-b0a9fcbaa4e3,User Dial-in Static Route added
e2e46049-1281-4202-9cc7-5791de6ab80b,User Dial-in Static Route removed
c786882d-f088-4505-8607-9de3c3d538b4,User Dial-in Verify Caller-ID changed
36355f7e-043a-4a3f-b3a7-c4332ee7e3a0,User Store Password Using Reversible Encryption option changed
4a05e9b4-939b-4a4a-9abf-fa9b93cb9b4e,User Use DES Encryption Types For This Account option changed
926eb0fd-b2a3-4268-b051-1063ee0428d0,User's ability to update their password has changed
16b034d9-1092-49d8-b9d4-ef63cb21f142,User's home folder requirement has changed
c2365371-09c0-44e8-901f-cda2270b496c,User's requirement for a password has changed
c53c4726-ed70-4b26-aa63-18c3f0a4cfe3,Web Page changed on user object
a6514b25-7620-4811-ba48-9babcfb0d3b7,When Session Limit is Reached changed for user object
0ed4db73-9562-4d5a-a130-0886098d127c,Zip/Postal Code changed on user object
023e21f4-563d-4c0c-9d1d-36a7f77c8a03,Computer added
03946612-14e3-4a11-a957-67f7f8e97366,Raw IP Allowed Protocols list changed
7473c7bc-978e-4651-a632-fa1d8a4d91b3,IPSEC settings changed
1f4d41fa-932f-4461-b156-5e6fc89b5060,Member removed from critical enterprise group
ae0f542a-8a5c-45ba-a10b-5bb7e43731c0,Domain controller added to domain
853fab16-50e4-4e51-a7a9-9d0e462fcccc,Domain controller removed from domain
656a7645-81f7-433e-8e87-2409532676cd,Group policy Disabled setting on site changed
1aa85abd-37dd-4ade-982a-6703dc0daf8b,Failed Azure Active Directory sign-in
3e85ca54-14bf-4cb4-ab05-65f66fcee9aa,Nested member added to critical enterprise group
cd26437b-0360-4ea3-b32e-c30b40056d0e,Group member-of added
4fd0b1bc-ea03-441e-a1e6-44ccda41a968,Group member-of removed
08b30583-a933-45c7-b3ba-c2f0b508bcbf,Azure Active Directory - User event
b78fe669-5788-428f-8e8a-1c73a681fe75,Maximum Lifetime For Service Ticket policy changed
36fe14d9-f177-4930-bc6d-1d9cc5f63cc3,Maximum Lifetime for User Ticket policy changed
606c9eff-9a32-47cc-b04c-2fe037b5747b,Maximum Lifetime For User Ticket Renewal policy changed
578eec50-98af-4a52-99c5-1300c8f05214,Maximum Tolerance for Computer Clock Synchronization policy changed
0767d110-6791-49e1-9979-94308de9b5d5,Enable scavenging of stale resource record setting changed
cd425123-4db6-4cd6-b376-868d94b55dd5,Minimum Password Age policy changed
175c3f52-8dca-4ac3-9141-6f36fd1eb9ef,Minimum Password Length policy changed
4b7f6750-e122-4c0f-aaba-852b63432d5c,Group policy link removed from OU
44c7a9f9-9a82-4de2-9775-6a3666532639,Group policy object added
ec81a2b4-3731-469a-a77f-30a4bed908ca,Group policy No Override setting changed on domain
92a9f6d7-a547-459e-92c8-2f424280516d,Use primary and connection specific suffixes flag changed
a1e91280-ad12-4332-9651-d7d15dec1f96,Append parent suffixes option changed
096c702d-4dd2-46f4-8317-419bca8c9f3c,Computer account disabled
1a484f81-54c6-43e6-98f2-064f318a02e1,Hotfix rolled back
2c5fcba3-faef-40f1-95ed-1b6068183391,Hotfix applied
39c8ae61-d525-4f82-9889-d1689873f7b6,Computer account enabled
65bad849-db9a-4d22-abbd-c858cdadbc57,DNS A record added
a4679685-6e5b-4a80-9edf-c860b72515c7,Domain controller moved to another OU
d3e09731-19d4-43b7-a04d-b532b5a61825,Domain Controller service pack rolled back
9bf2577d-a2f6-445e-9751-9c6bf517b7fb,Schema FSMO role owner moved
d9a77e2e-4cb5-4ca3-bd3f-77f6ce1a60d1,Account disabled for local user
057e96c7-0f5d-44b9-99df-fffaef89b592,RID FSMO role owner Moved
bb4b3584-fbb3-4f88-84fb-6beed25d826d,PDC FSMO role owner Moved
47d40e88-dab2-41d5-b498-e90a1d192359,Infrastructure FSMO Role Owner Moved
0d15cc86-30b2-4201-af71-e1d2a553a443,Account enabled for local user
bfc99748-22c8-496d-a81d-feadb5dd5cce,Group policy block inheritance setting changed on site
b75d5261-322e-40d2-8d10-a59b2bba1bc7,User added
a597924c-468c-458e-8e88-2224d623a7ee,Group policy WMI Filter changed
bed4a544-6259-47d3-a24f-8a2d0a521ee7,User UserPrincipalName property changed
2a127823-2cf8-45a1-8612-f37a3e49f92a,User ProxyAddresses property changed
4354047e-12e8-4a58-9383-fbebc8664b9e,User OtherMail property changed
7a9ed451-a971-4540-880f-7190d8c4df62,Nested member removed from critical enterprise group
03863da0-e89b-43d3-bbc7-92b3543a3d01,Account expiration changed for local user
db4a7735-bba7-4ed0-a33a-278f68915cdd,Password Never Expires changed for local user
5e7f64a2-7b01-4def-91c8-be3960526f9b,Local user badPwdCount changed
e0bf0770-fa45-4191-b2d6-5aebcfd23b44,License properties set
b05a2b60-8551-4434-adeb-f262ded45b1f,User AssignedLicense property changed
9039916c-95e7-4c28-841e-b503273f1bab,User license changed
5b246df8-acea-4a92-b425-74e65901a6e1,User LicenseAssignmentDetail property changed
b1248514-1495-4291-b764-8d010bef4fa9,Domain controller renamed
fe2816b1-52a0-4f5c-ad6b-1b022bb5c3d6,Default Aging State setting changed
0fed379c-4b6d-46e2-b0e6-8c093b330d21,User performed a successful NTLM V1 logon
c45aa3e2-c4d2-411f-b40c-7a8bd8663a89,User performed a successful NTLM V2 logon
bd6e53c6-7fd7-476d-bdfc-9d230691c337,Owner changed on group policy object
4a3e778c-df56-4805-bbbe-8c8a8a37e28d,Query policy setting changed
8be46424-5561-42f0-9b2b-2bd6b611ee27,Query policy link for domain controller changed
5c6e80c7-4917-4bfb-aeff-22165849ec12,Linked query policy for domain controller changed
defea9c4-debe-4b23-aeb3-2b093f5f6956,User AccountEnabled property changed
28be1696-6656-4869-9c4a-8b4659ac75fd,User password changed
fceb3bdd-46d2-443e-9194-8904a110efac,User password reset
99d4bf68-40a5-4f7d-8a85-12b0780e722d,Password changed for local user
a30cb6cd-0e13-4946-8dca-a9b09cbdf09e,Group policy no override setting changed on OU
15a2989a-9124-410f-99a0-6087624ab373,Audit: Audit The Access Of Global System Objects policy changed
4bd20675-d266-4090-be43-9e3cf7aa6027,Audit: Shut Down System Immediately If Unable To Log Security Audits policy changed
e7aa23cd-de66-4838-86cb-2278702acc37,Audit: Audit The Use Of Backup And Restore Privilege policy changed
27b9ad01-2322-44a3-9696-2a97102980b3,Critical link failures allowed parameter changed
5a181d77-5d0b-4e22-8c40-ef1bb55a24bb,Intersite failures allowed parameter changed
32ac3315-79c7-4edd-8c7c-31550ec81cbc,KCC site generator failover interval changed
9ed38fdf-71cf-4100-8c41-4eaa5f994c38,Max failure time for intersite link parameter changed
045a41b5-d18d-40f9-a25d-69d485c95bc8,Max failure time for non-critical link parameter changed
ee253c40-9ee6-441d-8ef7-32cc453bdd79,MaxFailureTimeForCriticalLink
a57c4ee9-6583-487a-ade0-d0d020eec20a,Non-critical link failures allowed flag changed
50f2492d-e1d0-41b9-acc2-69681cd0e9e1,Processor speed changed
94f12f9f-4525-47d8-b8e3-95e313671b3e,NIC added
2612fde6-7a05-4d3c-885b-671b55fb9a30,NIC removed
d5134f41-ea55-4f91-b9d1-9c534aaa0c58,Connect Client Drives At Logon changed for local user
2c05ab45-c145-48da-ba6a-b7ec6102be35,Connect Client Printers At Logon changed for local user
eff0dc7d-40c2-48e0-9a51-8ccb0f314628,Logon program filename changed for local user
ac47360a-b520-4fee-8c3f-ca2467496c1d,Logon program folder changed for local user
211f3595-43ce-453a-8f63-7ae47886fc69,Logon script changed for local user
0c91b4be-77f2-4865-a6b6-3267c09be86c,Must Change Password At Next Logon changed for local user
2080f91a-3de2-40d4-a454-9cc90054b052,Start The Following Program At Logon changed for local user
10c5b372-3d5b-43c0-9ea7-cd0995da2d72,AD Query Performed
40155efb-ebf5-4072-8779-a1fb49408581,Computer removed
4e61b910-142f-4353-bb2b-3b412f150f95,Cross-forest trust removed
d73451d9-7b56-4e84-97d6-a9f7a8146206,Cross-forest trust added
3a5bf104-189c-4baf-8587-2b6ab61a66df,User authenticated through Kerberos
72db2399-8ad4-4eb4-bdc3-067aa7c0f6d2,Role member added
28cb0d72-db40-4b77-99dc-4d4d5b069f29,Role member removed
f8c90936-4c90-4a2e-9b2a-759d348ff4b1,Active risk event status changed to closed
491627db-b831-41a8-b170-88ee044ddfe5,Active risk event detected
22fb9140-90d9-4f2e-8cc8-6590bed774f6,Deny Access To This Computer From The Network policy changed
33a7125e-59b2-4940-97a3-44f75cf6c0d0,Deny Log On As A Batch Job policy changed
6af9e149-15ce-4f16-8eef-b938cbdd3a45,Deny Log On As A Service policy changed
b3f16e68-dc38-46a8-97d3-2d61b10aa741,Deny Log On Locally policy changed
d6b72e7f-4618-458f-9723-4b69e14c245a,Deny Log On Through Terminal Services / Remote Desktop Services policy changed
b18b4f52-f8b0-4385-abe7-fcd741b5180f,Group policy link added to site
f4b6fe54-74ba-49d2-8517-fe2343b0237d,Group policy link removed from site
8a05b7df-063b-4012-82a3-d52c58003420,Group policy no override setting changed on site
efa912e3-3e3d-4d0f-aa16-6a606e5f2a17,Aging No-refresh interval changed
a4781af6-d76d-492d-b905-2ad009e84c25,Aging Refresh interval changed
1d1c7200-6165-4efa-b414-8894013a3090,Zone scavenging flag changed
50297191-8a61-4a97-91e9-186eb8dd1e3b,DNS AAAA record added
be194bde-7aaa-442f-aae6-2c6a6c5910c2,DNS PTR record added
cd8d8a30-9777-4838-b92f-605051539bc1,NETLOGON DnsAvoidRegisterRecords parameter changed
9cbc3031-4971-4200-947b-f855100e8457,Group policy object removed
7fe294e3-6ded-4444-8cf2-305bc9bab269,Group policy object renamed
588696b7-df62-4d93-84f7-c4c7f0491eed,Object Access: Detailed File Share changed
5105238b-e8c4-4a06-b0e0-364966e29415,Object Access: Audit File Share changed
0a38713b-3cfd-40e5-8a85-011d1f665f65,Network Access: Shares That Can Be Accessed Anonymously policy changed
990d24c6-8eec-4c5a-8940-786a0b8dcd21,Network Access: Restrict Anonymous Access To Named Pipes and Shares policy changed
69ea2b85-f1e3-4fe7-9a53-19d7b39a4ed1,Network Access: Do Not Allow Anonymous Enumeration Of SAM Accounts And Shares policy changed
237c9ceb-383c-4cf9-9cdc-08d32de9afb5,Create Permanent Shared Objects policy changed
54dce49f-3606-458e-80b1-76adce89bc1f,Account Lockout Duration policy changed
9c40e441-1e44-455a-b8e8-d722c80f2e20,Account Lockout Threshold policy changed
e89070af-c98b-4c64-8031-a3a9c4ded8f8,Reset Account Lockout Counter After Change policy changed
e5e21a17-6a47-46b6-992e-c22f113b2701,A user session was ended by user logging off
6d7d32dc-b936-4f70-9ef5-da5191cff77d,Shut Down The Computer When The Security Audit Log Is Full policy changed
516d8225-5ebb-4d5e-b77b-476412f934e7,Default quota for partition changed
96324552-1076-453e-830e-f184d76d6443,Domain functional level changed
381851df-93a4-412e-af0c-07bb069daf7c,Domain group policy order changed
525132f5-601a-49f4-ae00-6c0257347b2d,Guest account disabled
ed1be570-26b9-48fa-bbc4-d0d52c73bea9,Guest account enabled
1ecc67d5-31ac-4ae0-80ad-d6bf0edf7d7e,Object quota added
979435b9-0eff-4a09-84ce-b882fd9f3271,Object quota removed
8e0e8ee0-a7f1-4935-93de-6c2a495d87f8,Quota security principal changed
fd06d559-9e5c-4237-a3eb-54e6f3434737,Quota value changed
cd113ebf-84ba-48be-9ae1-f71dad215e60,Read-Only Domain controller added to domain
3f91bed8-f9a8-45d5-9eaf-0d5ce73c4775,Read-Only Domain controller removed from domain
291ee417-b797-4858-98ac-b53220692abb,Read-Only Domain controller renamed
c714eae2-62c7-4cfd-8664-30ab948f8f1d,Tombstone quota factor for partition changed
52dbb9bd-109b-4647-ae08-3d4b8e044b2b,User UserType property changed
170137b3-2cfa-4fab-a69c-f3d358f12e74,User UserStateChangedOn property changed
01a8ccbb-8452-48d8-b1ba-99f0bc147caa,User UserState property changed
466ba0a7-b891-460f-ab6b-8ad0fec2834b,User updated
fbcb0171-053a-4c71-801a-d9a576436840,User TelephoneNumber property changed
56048721-2f3c-4df3-ad0b-655d49704c4b,User restored
24114601-e354-445f-aaf4-2cda20537bd6,User PreferredDataLocation property changed
2917ec2e-d314-4123-bcd0-c53be60583e7,User OtherMobile property changed
7f3c8752-0bb4-405b-83b2-d599282f7c7c,User MSExchRemoteRecipientType property changed
80010e3c-5e06-4fae-bf65-9a3241225b43,User Mobile property changed
3d4be0e4-a177-434f-b5b7-79be62ecfffd,User deleted
f21dabe4-7be1-4461-8d48-fc340bf02280,User AssignedPlan property changed
0d8d6958-b744-473a-bff5-2f2bf252d20a,User AlternativeSecurityId property changed
02b82b2d-6c38-4635-bfec-9e128dfe6a56,Update user credentials
acfc30bf-d801-4749-af43-dcf7f213c37d,Force change user password property set
efd4fd33-2e4d-474e-8b25-60c43ca9f962,Zone deleted
56bbfc08-daf0-419d-868d-3f7eb2ea3f4c,Zone added
106bac18-3326-4382-8f2e-5d8edbfb2c4d,Zone load mode changed
6342620f-a710-4945-bb67-5e5c56cb070b,WriteAuthorityNS setting changed
